date,arx,ary,arz,grx,gry,grz,subject
2020-01-01 00:00:00,-7.0015,-10.089,3.0789,-0.5764699999999999,-0.59959,0.75431,subject1
2020-01-01 00:00:01,-6.3209,-10.026,2.3737,-0.5764699999999999,-0.59959,0.75431,subject1
2020-01-01 00:00:02,-4.5576,-10.184,1.6471,-0.56667,-0.65298,0.72629,subject1
2020-01-01 00:00:03,-3.2267,-9.5227,1.7322,-0.56667,-0.65298,0.72629,subject1
2020-01-01 00:00:04,-2.6922,-8.1222,1.7814,-0.56667,-0.65298,0.72629,subject1
2020-01-01 00:00:05,-2.5455,-6.6726,1.7393,-0.56667,-0.65298,0.72629,subject1
2020-01-01 00:00:06,-2.6477,-6.2898,2.0188,-0.56275,-0.6632399999999999,0.72629,subject1
2020-01-01 00:00:07,-3.5317,-6.129,2.0998,-0.56275,-0.6632399999999999,0.72629,subject1
2020-01-01 00:00:08,-3.5314,-5.962999999999999,1.7019,-0.56275,-0.6632399999999999,0.72629,subject1
2020-01-01 00:00:09,-2.9414,-6.0992,1.0805,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:10,-2.6856,-6.5197,1.0282,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:11,-2.2705,-6.9666,1.3392,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:12,-2.1678,-7.6884,1.1572,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:13,-2.5895,-8.5517,0.83283,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:14,-2.7489,-9.1731,0.68718,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:15,-3.1027,-9.6835,0.6512399999999999,-0.55294,-0.62834,0.72845,subject1
2020-01-01 00:00:16,-3.5368,-10.008,1.2288,-0.5549,-0.6078,0.75431,subject1
2020-01-01 00:00:17,-3.6962,-11.201,1.94,-0.5549,-0.6078,0.75431,subject1
2020-01-01 00:00:18,-4.3805,-12.269,2.1053,-0.5549,-0.6078,0.75431,subject1
2020-01-01 00:00:19,-4.1228,-10.925999999999998,2.4016,-0.56667,-0.61602,0.75647,subject1
2020-01-01 00:00:20,-3.8457,-10.646,2.4052,-0.56667,-0.61602,0.75647,subject1
2020-01-01 00:00:21,-5.1117,-13.388,2.1848,-0.56667,-0.61602,0.75647,subject1
2020-01-01 00:00:22,-7.0621,-17.205,2.4731,-0.56667,-0.61602,0.75647,subject1
2020-01-01 00:00:23,-7.5776,-13.466,2.41,-0.61373,-0.6037,0.7047399999999999,subject1
2020-01-01 00:00:24,-4.7413,-8.0162,1.3804,-0.61373,-0.6037,0.7047399999999999,subject1
2020-01-01 00:00:25,-2.6209,-5.8203,0.9694,-0.61373,-0.6037,0.7047399999999999,subject1
2020-01-01 00:00:26,-1.5504,-8.8537,0.6302300000000001,-0.60196,-0.57084,0.74353,subject1
2020-01-01 00:00:27,-2.1059,-9.7057,0.43138,-0.60196,-0.57084,0.74353,subject1
2020-01-01 00:00:28,-2.4227,-9.7632,0.6785100000000001,-0.60196,-0.57084,0.74353,subject1
2020-01-01 00:00:29,-3.3687,-9.8675,0.2462099999999999,-0.60196,-0.57084,0.74353,subject1
2020-01-01 00:00:30,-3.5980000000000003,-8.8678,0.22328,-0.6078399999999999,-0.5646800000000001,0.7672399999999999,subject1
2020-01-01 00:00:31,-3.2876,-7.2201,-0.0068368,-0.6078399999999999,-0.5646800000000001,0.7672399999999999,subject1
2020-01-01 00:00:32,-3.0878,-6.2267,0.3345,-0.6078399999999999,-0.5646800000000001,0.7672399999999999,subject1
2020-01-01 00:00:33,-2.9177,-6.1237,0.63132,-0.59608,-0.54004,0.7844800000000001,subject1
2020-01-01 00:00:34,-2.7653,-6.1942,0.5757,-0.59608,-0.54004,0.7844800000000001,subject1
